,time,text,user_followers,user_verified,likes,retweets
0,"12/31/2022, 10:12:24","[📷 MARK SHOTS]

thank you for coming and waiting 🖤
make sure to grab some food 
and we’ll see each other later!… https://t.co/odkACjN8ZZ",672454,1,32178,18505
1,"12/29/2022, 23:56:36","Twitter janitors strike--&gt;Elon fires them--&gt; so--&gt; 

""the smell of leftover takeout food and body odor has lingered… https://t.co/FOWXnWBJID",30958,1,17154,3647
2,"12/29/2022, 14:53:00","The minimum wage at $7.25/hr is $1,257 a month.

How exactly do you pay for rent, utilities, food, child care, heal… https://t.co/29bqh1Drgm",303537,1,24458,4713
3,"12/31/2022, 23:43:34",i made like a lot of good food in 2022 https://t.co/EA0TyNTOjk,35826,1,52814,3146
4,"12/28/2022, 19:03:54",why drive 5 minutes for food when i can order doordash for $80,390994,0,48063,5094
5,"12/29/2022, 15:37:24","Red meat is a health food!!

https://t.co/65v4YGdnTc https://t.co/VA8KRb4UUh",186911,0,21229,4579
6,"12/28/2022, 18:15:00","“Anybody earning 30 odd grand a year, which most nurses are, using food banks, then they’ve got something wrong wit… https://t.co/k25aoZ9gsK",58039,1,3737,880
7,"12/30/2022, 11:03:00",Stop and think for a moment about this statement. It’s true. From here to that destination is unimaginable violence… https://t.co/tul8M4tPqg,36193,1,4911,1829
8,"12/30/2022, 00:20:13","40.2% (!) of Coca-Cola's U.S. revenue comes from SNAP benefits (food stamps)

What an evil use of taxpayer money. 

Here's the math:",27096,0,10695,2319
9,"12/28/2022, 16:36:36","IF you encounter a cougar:
- NEVER approach or offer it food. You are NOT a Disney Princess.
- Face the cougar. Tal… https://t.co/VbM3mXO2ml",121207,1,9701,1075
10,"12/30/2022, 18:38:59","As I reflect on the work of @wckitchen this year, I'm humbled &amp; grateful. Over &amp; over again, we see the power of a… https://t.co/8xvZzOe8a2",1171258,1,6899,937
11,"12/29/2022, 21:22:08","Blue Soldier crab from the genus Mictyris 

Walking forwards not sideways like most other crabs, in large armies lo… https://t.co/UafwVxmdLw",721417,0,6246,924
12,"12/30/2022, 15:04:18","We hear that racism causes “food deserts” in these communities, but it’s almost as if these communities are activel… https://t.co/87aj6Asepu",1250118,1,2935,308
13,"12/31/2022, 19:00:12","Conspiracy theorists who believe Klaus Schwab is orchestrating food, energy and health policies across the West hav… https://t.co/CjomApcHBc",243559,1,1926,713
14,"12/31/2022, 09:37:17","Celebrate your birthday in the way it inspires others! Well-inspired by Saint Dr. @GurmeetRamRahim Singh Ji Insan,… https://t.co/LRJ1UNOVa6",370972,1,2208,2191
