"","X","time","text","user_followers","user_verified","likes","retweets"
"1","8058","01/02/2023, 23:58:30","I'd do it for a slice of pizza https://t.co/B3TO4ScDLG",328,0,1,0
"2","12689","01/03/2023, 23:59:10","ain ate all day thinking i’m bout to get off &amp; eat my plate from yesterday. pep ass done ate it. i’m fckn pissed.",1205,0,0,0
"3","956","01/01/2023, 23:59:38","Dalvin Cook putting up a 4 spot in the championship https://t.co/GOwCH8kMPz",260,0,0,0
"4","1815","01/02/2023, 23:19:43","WATCH ""ATTACK OF THE BOOGIE RELOADED"" TONIGHT!

PREMIERING THIS FRIDAY, JANUARY 6TH. AT 7:30P (CST) A SALUTE TO A H… https://t.co/RDlybjU635",1584,0,1,0
"5","2623","01/01/2023, 03:38:46","Jerk Chicken Pasta Recipe - Quick and Easy 6 Steps...

Read Full Recipe Along With Video: https://t.co/OwQG9UDAxA… https://t.co/C1wwd8tgbf",1,0,0,0
"6","554","01/01/2023, 23:33:39","Available reservation: Misi at 2023-01-03 18:00:00 for 2 #nyc #restaurants #foodie",104,0,0,0
"7","1615","01/02/2023, 23:58:25","I used to avoid avocados and olive oil because of calories. I was wrong. Simply looking at calories is failing to u… https://t.co/FTaw2fbd5x",28990,0,44,1
"8","13656","01/03/2023, 23:56:56","She said she was gonna pay for my lunch I been waiting all day for her to send the money 😭",2626,0,4,0
"9","225","01/01/2023, 23:46:02","@Daddy_Ursa this is wild 😂",16963,0,0,0
"10","10466","01/03/2023, 19:43:00","#SNACK #SNACKTIME! #YUMMY! SINGING ""MORE""! AT MY #STPATRICK/#STJACINTA ""JOINT"" COMMAND! #HABITATIONMODULE ""Similar""… https://t.co/QqSs64sr0H",481,0,0,0
"11","198","01/01/2023, 23:48:54","Ronzoni SuperGreens Rotini Pasta, 12 Oz  Boxes (Set of 2) THKA4CD

https://t.co/8DMRtfOzqI https://t.co/vrbvoPN7Ql",14,0,0,0
"12","10201","01/04/2023, 22:11:56","Available reservation: Don Angie at 2023-01-04 21:00:00 for 2 #nyc #restaurants #foodie",115,0,0,0
"13","8907","12/31/2022, 13:14:12","Christmas #Carolling
I heard the bells on #Christmas Day
Their old, familiar carols play,
And wild and #sweet
The w… https://t.co/Ao1vDT7zYJ",2360,0,3,0
"14","13602","01/04/2023, 20:14:13","O-M-G BEST Crockpot Chicken EVER Recipe
▸ https://t.co/TzVL1GbaW5

#easyrecipe #chickendinner #dinner #slowcooker… https://t.co/5ONa8iXtzw",11604,0,0,0
"15","6066","12/31/2022, 05:39:24","#Vote for the #Best #food content.
=&gt; Join the Best #app : https://t.co/TaFuTDQLEU 
#bbq #beef #rind #best… https://t.co/qkn7Wx3cv0",362,0,0,0
"16","5022","12/31/2022, 23:55:01","Spending New Years at home with the kiddos! Just made homemade biscuits and gravy. ❤️",245,0,1,0
"17","9535","01/04/2023, 23:59:46","So this is our first video of the year!!!!
https://t.co/EULM4WGG61
THE FOOLISH GATEMAN.
Please subscribe, watch, li… https://t.co/8SVeYlr2HW",126,0,2,1
"18","964","01/01/2023, 23:59:14","Me: *is trying to cook for my family despite being in excruciating pain*
Also me: *drops everything to help a frien… https://t.co/upcQ3y1ryI",297,0,2,0
"19","6005","01/02/2023, 23:59:09","eat sleep smoke repeat",0,0,0,0
"20","10803","01/04/2023, 22:30:17","Healthy food habits involve switching to a well-balanced, nutritious diet, i.e., eating everything in the right amo… https://t.co/rboyvbamNc",8,0,0,0
"21","12429","01/03/2023, 19:41:52","Instant Pot Chicken Spaghetti #vodapav #food #vodapavfood #foodie #foods #foodie #foodlove #foodblog https://t.co/Af4onBzeVk",132,0,0,0
"22","3320","12/31/2022, 18:17:55","Difference Between Delta 8 Thc And Cbd And What To Choose?

https://t.co/VYtFCJlkKv

#CBDC #Health… https://t.co/48lSHPSHwF",34,0,1,1
"23","10411","01/03/2023, 23:56:40","JB AND JB COLLAB BRO!! 😉 #Girls #Babe #MrBufferBieber #Yummy #JustinBieber #TIKTOKFamous #TIKTOK #Viral #Trending… https://t.co/7n6TJHVwqI",222,0,0,0
"24","8838","12/31/2022, 20:07:59","Has the cold and barren landscape already got you feeling the winter blues? Enjoy a blast of spring with THE WILDNE… https://t.co/IpijD9LmO7",5503,0,0,0
"25","3616","12/31/2022, 22:00:13","Happy New Year 
https://t.co/YJondEYFBD  
#JillianBullock #MindBodySpiritConnection #inspire #dontquit #focus… https://t.co/2R2PR6uSug",984,0,1,0
"26","13177","01/04/2023, 17:00:30","Why is this a thing?! 😂
#PonyXpressDelivery #Delivery #Driver #Linehaul #Cargo #SmallBusiness #FedEx #Amazon… https://t.co/k4su1cHD5x",23,0,1,0
"27","252","12/26/2022, 13:00:18","Before: I ate whole grains,  pasta, cereal, and many many fruits. I was pre-diabetic, obese and miserable

Now: I e… https://t.co/bH78AhxScs",74504,0,480,44
"28","2968","01/02/2023, 21:30:23","Le Chef Pierre D'Iberville: Roasted prime rib, Yorkshire pudding (The Escoffie... https://t.co/dwh8OBRwVO… https://t.co/G4hfzhHqn9",636,0,0,0
