"","X","time","text","user_followers","user_verified","likes","retweets"
"1","0","12/31/2022, 10:12:24","[📷 MARK SHOTS]

thank you for coming and waiting 🖤
make sure to grab some food 
and we’ll see each other later!… https://t.co/odkACjN8ZZ",670279,1,32001,18463
"2","1","12/26/2022, 21:58:01","A handful of billionaires now have unprecedented control over banking, the food we eat, the health care we can acce… https://t.co/4cm1QQxBDb",1581829,1,57997,13499
"3","2","12/26/2022, 09:02:00","[GIVEAWAY]
#HoYoFair2023 New Year Fan Art Special Program Coming Soon!
To celebrate, Mimo is hosting a special give… https://t.co/lUq3S7xMgV",177280,1,4679,6324
"4","3","01/01/2023, 23:59:59","@weirdterrifying AWE THEY R JUST LITTLE KITTY'S TRYING TO PLAY 💞 food is a bonus probably",195,0,0,0
"5","4","01/01/2023, 23:59:59","primeiro fast food do ano",806,0,0,0
"6","5","01/01/2023, 23:59:58","@FLOTUS Go change some diapers and have some ice cream. We all know Joe is incapable of eating solid food. #notadoctor",399,0,0,0
"7","7","01/01/2023, 23:59:57","I just wanna eat some good food",737,0,1,0
"8","9","01/01/2023, 23:59:54","What happens when you search for restaurants in Lewisville, TX and you settle on ""Today's Meal"" because the ratings… https://t.co/oZTArXN5OJ",2535,0,2,0
"9","10","01/01/2023, 23:59:53","mommy sorry mommy sorry mommy🧎🏻‍♀️🫦 can’t wait to see the true milf you bloom into!! only a year to go bc ur old as… https://t.co/eDWChrtGYE",734,0,1,0
"10","11","01/01/2023, 23:59:52","@tenaciousrb @MiraSorvino Assuming that was a real question and not some Nationalist Christian (Nat C) banter. here… https://t.co/luiD82RXgf",6613,0,1,0
"11","12","01/01/2023, 23:59:50","@Ieohyuns the airports are so easy to navigate, stay on the mainland, tasmania is awful, the melbourne domestic air… https://t.co/Hl9WrysPeP",963,0,1,0
"12","13","01/01/2023, 23:59:50","@catturd2 My dad swears by adding a few drops of hydrogen peroxide food grade to a drink daily.",232,0,0,0
"13","15","01/01/2023, 23:59:48","@PandaExpress 

...let me get this straight, u give me a whole plate of food, but only 3 ¹/3 OF THE WAY FULL sweet… https://t.co/8QTEyJOiON",268,0,0,0
"14","16","01/01/2023, 23:59:46","@luvustay The food was hitting DIFFERENT 😩💜",76,0,0,0
"15","17","01/01/2023, 23:59:43","@bearberryvee download a water app/one with reminders, it’ll help a lot and make u focus more on water then food",14,0,1,0
"16","18","01/01/2023, 23:59:42","@BloombergUK People are fighting for a proper wage. Nurses and others using food banks to survive because of Tory p… https://t.co/yG1syN8lF0",753,0,1,0
"17","20","01/01/2023, 23:59:41","when the wedding food hits too good https://t.co/sNyCl52txn",560,0,8,0
"18","21","01/01/2023, 23:59:41","Chinese food feast (rice not pictured)!

Sweet &amp; Sour Chicken, Mongolian Beef, Moo Shu Vegetables

and… https://t.co/7w7BcSq5VK",1646,0,1,1
"19","22","01/01/2023, 23:59:41","@DarkSunLokdolin i dont trust american food to not poison me also ill be real",583,0,1,0
"20","24","01/01/2023, 23:59:39","@NoContextBrits Best Indian food in the world outside of India.",139,0,0,0
"21","25","01/01/2023, 23:59:37","my mom cooked some bomb ass food last night 🤰🏻",209,0,3,0
"22","30","01/01/2023, 23:59:28","2023 im making more clothes, making more food, hanging out, doing book club w a friend, watching more movies alone,… https://t.co/GjpYdvvUtq",33,0,1,0
"23","31","01/01/2023, 23:59:27","@mimsb123 when i’m like super hungover i’ll eat greasy breakfast food and it always works",2305,0,0,0
"24","33","01/01/2023, 23:59:27","@Piepricia Imagine someone prank you nd serve you some soul food but it’s wax melt 😭😕 https://t.co/kp31POMkOv",529,0,1,0
"25","34","01/01/2023, 23:59:26","@garIicbaguette @deanwnchstrsgf steal his food",911,0,0,0
"26","37","01/01/2023, 23:59:22","@jharr16 240 million human beings bombed into subjugation by the worlds biggest thief ,no heat , no food for their… https://t.co/HYGVRpv30Q",1,0,0,0
"27","38","01/01/2023, 23:59:21","A friendly reminder who is at the top of the food chain https://t.co/4mx7AhkFJk",169,0,1,1
"28","39","01/01/2023, 23:59:21","Communists fought with the miners in 1912 to bring about the end of essau script which has a systemic rape of miner… https://t.co/lPthQxDv6k",951,0,8,0
